2018/11/21 00:05:25 main.go:32: App start：  2018-11-21 00:05:25.3831244 +0800 CST m=+0.054063601
2018/11/21 00:05:25 fileUtil.go:38: CopyFiles() start.  H:/Invoice file/Invoice file H:/Invoice file 2017-12-01 00:00:00 +0800 CST 2017-12-01 00:00:00 +0800 CST
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-01 00:10:04 +0800 CST INVOIC_5336_20171201001006_1.edi H:/Invoice file/2017/12/INVOIC_5336_20171201001006_1.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-01 00:10:04 +0800 CST INVOIC_5337_20171201001006_2.edi H:/Invoice file/2017/12/INVOIC_5337_20171201001006_2.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-01 00:10:04 +0800 CST INVOIC_5338_20171201001006_3.edi H:/Invoice file/2017/12/INVOIC_5338_20171201001006_3.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-01 00:10:04 +0800 CST INVOIC_5339_20171201001006_4.edi H:/Invoice file/2017/12/INVOIC_5339_20171201001006_4.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-01 00:10:04 +0800 CST INVOIC_5340_20171201001006_5.edi H:/Invoice file/2017/12/INVOIC_5340_20171201001006_5.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-01 00:10:04 +0800 CST INVOIC_5341_20171201001006_6.edi H:/Invoice file/2017/12/INVOIC_5341_20171201001006_6.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-01 00:10:04 +0800 CST INVOIC_5342_20171201001006_7.edi H:/Invoice file/2017/12/INVOIC_5342_20171201001006_7.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-01 00:10:04 +0800 CST INVOIC_5343_20171201001006_8.edi H:/Invoice file/2017/12/INVOIC_5343_20171201001006_8.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-01 00:10:06 +0800 CST INVOIC_5344_20171201001006_9.edi H:/Invoice file/2017/12/INVOIC_5344_20171201001006_9.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-01 00:10:06 +0800 CST INVOIC_5345_20171201001006_10.edi H:/Invoice file/2017/12/INVOIC_5345_20171201001006_10.edi
